Kabupaten/Kota,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Daging Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DAGING,,,,,,,Daging sapi,,,,,,,"Daging kambing, domba/biri-biri",,,,,,,Daging babi,,,,,,,Daging ayam ras,,,,,,,Daging ayam kampung,,,,,,,Daging segar lainnya,,,,,,,Daging diawetkan lainnya,,,,,,,"Tetelan, sandung lamur",,,,,,,"Lainnya ( hati, jeroan, iga, kaki, buntut, kepala, dsb)",,,,,,
Padang Lawas,4095.5,3734.54,3263.09,4533.95,5312.04,4673.29,4789,898.9,310.04,319.45,640.27,160.08,409.75,441,-,-,-,7.39,17.93,-,2,16.05,14.14,16.99,22.77,-,39,-,2460.24,2135.76,2207.85,3000.06,4170.98,3414.84,3552,621.07,1155.33,628.32,623.13,756.7,674.07,718,68.3,40.38,8.58,183.37,48.15,65.34,-,-,-,-,-,12.03,0.31,3,-,-,-,-,-,17.59,9,30.94,78.89,81.92,56.96,146.17,52.39,65
Labuhan Batu Selatan,4937.81,3891.22,3996.16,5411.38,5405.28,5244.52,6366,506.14,166.23,158.39,555.84,459.39,318.25,667,2.06,34.07,16.57,-,-,21.44,182,50.98,105.94,108.25,76.93,34.1,4.8,83,3166.04,2462.01,2666.49,3282.44,3851.85,4016.47,4342,860.61,996.44,947.43,1244.62,819.88,622.79,917,44.41,15.78,-,57.64,61.31,15.89,-,-,-,-,-,27.67,25.51,29,6.16,24.52,8.2,26.14,-,-,14,301.4,86.22,90.83,167.76,151.07,219.36,132
Labuhan Batu Utara,3555.59,3746.49,3960.23,4327.88,4938.39,4518.05,4301,108.82,226.63,70.63,331.42,414.47,242.26,105,111.37,43.08,19.16,26.12,3.7,34.89,-,459.9,112.63,142.43,72.21,155.46,181.78,153,1935.02,1804.79,2203.72,2218.03,3057.86,3150.81,3171,820.76,1447.71,1264.88,1484.38,1073.33,792.52,591,84.66,23.91,70.37,102.15,27.77,0.31,71,-,-,-,-,97.02,44.2,70,-,11.31,-,-,1.56,-,-,35.07,76.42,189.03,93.58,107.21,71.28,139
Nias Utara,6674.47,6993.57,5973.45,4707.88,7387.7,8601.31,6417,-,18.93,53.88,-,38.24,-,44,26.76,-,42.5,-,-,-,-,4217.15,4400.77,3097.05,593.76,2047.49,3108.84,2878,1567.02,1735.78,1813.94,3246.16,4178.08,4292.69,2801,746.94,608.14,894.03,745.83,886.12,1066.31,543,44.11,229.96,55.22,122.14,18.69,113.06,-,-,-,16.84,-,1.17,17.39,4,6.27,-,-,-,-,-,-,66.21,-,-,-,217.91,3.03,146
Nias Barat,5398.27,7306.83,6512.46,3724.21,6146.12,6533.75,7982,60.88,43.11,46.68,-,19,-,-,41.75,3.9,11.77,-,1.01,32.2,61,3676,4723.99,4002.49,138.12,1457.46,3665.81,4549,894.82,1228.81,1682.22,2364.12,2875.87,1872.31,1997,646.9,1299.52,766.84,1181.73,1777.49,942.73,1376,53.94,7.5,2.46,40.23,15.3,20.71,-,23.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kota Sibolga,2083.4,1855.46,2501.29,2455.52,2980.86,2859.33,3796,16.76,45.06,11.21,19.7,48.72,7.02,72,-,24.4,-,-,-,-,-,138.74,193.26,378.5,459.67,369.68,226.31,528,1525.64,1223.1,1405.47,1699.33,2248.64,2407.88,2721,279.12,85.35,650.32,174.92,130.5,38.43,290,54.48,218.09,25.92,73.69,73.57,84.87,61,-,6.93,-,4.29,42.88,84.51,110,9.45,5.87,-,-,-,3.29,7,59.21,53.42,29.87,23.91,66.87,7.02,7
Kota Tanjung Balai,3560.54,3770.03,3780.02,3760.17,5829.66,5331.99,5426,264.24,288.88,468.91,224.63,586.94,240.53,373,-,-,-,-,14.91,27.37,62,272.74,306.66,393.98,41.1,138.63,91.02,123,2617.02,2705.99,2604.54,3071.72,4612.61,4141.7,4030,311.42,317.78,182.92,199.75,229.97,449.45,317,-,-,-,-,22.49,53.92,-,-,-,-,-,67.53,207.1,25,9.09,-,-,-,5,-,-,86.04,150.72,129.67,222.97,151.58,120.9,496
Kota Pematang Siantar,6271,5397.88,5535.93,6450.15,7141.47,9150.91,7360,592.74,499.63,622.46,594.83,900.32,718.52,375,58.16,20.72,50.18,-,43.6,-,-,1253.7,1101.05,461.89,1065.07,1134.52,1940.01,1556,2708.51,2428.79,2439.09,2832.82,3525.03,4592.96,4137,1185.63,889.26,1453.1,1608.84,1119.86,1373.38,783,169.17,218,169.63,177.43,55.41,77.02,57,14.69,40.39,33.03,17.45,167.5,166.99,234,105.47,100.58,106.25,6.45,62.68,51.89,37,182.94,99.48,200.31,147.26,132.56,230.13,181
Kota Tebing Tinggi,3748.94,4036.06,4651.59,5302.69,5359.74,6231.03,7135,622.55,606.26,660.68,697.44,921.51,473.61,731,43.2,101.47,175.15,75.32,31.57,-,27,176.37,89.98,170.83,387.28,23.71,340.89,599,2466.26,2792.74,2895.22,3129.64,3409.5,4688.68,4609,355.89,317.95,561.29,961.39,709.22,412.63,794,18.66,12.13,28.33,37.27,-,24.3,5,25.36,72.2,15.62,2.47,131.84,200.55,187,11.8,12.03,26.5,0.77,46.07,45.26,25,28.86,31.29,117.98,11.12,86.32,45.1,159
Kota Medan,6973.79,6876.21,6851.31,7958.58,10062.52,10006.23,8736,1059.11,1070.96,1221.99,1194.37,1611.37,1451.56,822,74.22,9.47,34.61,23.02,-,83.29,14,619.75,443.67,301.56,671.71,1036.37,949.46,430,4072.04,4526.99,4368.11,4893.39,5518.35,5311.17,6099,716.11,382.79,481.12,479.85,640.77,874.11,366,143.32,31.24,46.43,311.89,53.97,18.67,35,52.26,31.94,19.85,83.65,931.56,741.94,687,85.8,74.32,130.19,41.21,14.57,41.55,125,151.18,304.83,247.44,259.49,255.55,534.5,158
Kota Binjai,4724.67,6032.57,5618.28,5322.34,6783.47,7294.94,9677,549.3,571.36,548.87,804.12,901.83,1012.14,1535,-,12.09,90.34,26.23,-,31.43,97,307.1,638.33,202.28,260.59,420.04,357.75,454,3223.57,3619.49,3673.76,3412.03,4529.13,5147.48,5622,440.44,795.48,789.55,647.15,535.47,403.68,1143,70.73,34.75,-,26.89,36.54,-,-,-,123.82,34.62,-,90.26,186.66,412,56.99,67.99,76.7,34.46,111.06,35.18,113,76.54,169.24,202.15,110.86,159.15,120.62,299
Kota Padangsidimpuan,3647.3,3429.51,4593.98,4728.41,4711.19,4818.23,5909,653.52,712.57,697.59,633.03,554.1,947.95,755,36.82,-,25.65,-,29.19,13.02,-,113.44,23.86,62.51,295.69,24.45,39.7,19,2263.7,2123.05,2904.56,2947.94,3692.22,3510.95,3970,468.63,451.19,605.36,685.49,275.28,52.4,867,34.74,2.31,80.86,17.96,9.8,35.4,41,-,9.12,-,48.81,49.34,86.41,225,6.51,-,-,-,-,37.64,3,69.94,107.4,217.46,99.49,76.83,94.75,29
Kota Gunungsitoli,6069.76,6855.4,7542.37,6569.88,8466.05,7434.86,9233,223.97,91.43,177.1,57.72,162.14,-,158,53.11,-,-,110.25,10.53,66.31,218,3361.73,4140.67,4489.57,1758.93,4329.26,3204.34,4047,1208.65,1633.17,1775.87,3051.07,2942.36,2515.69,3286,1031.93,905.36,1099.84,1297.07,896.55,1408.68,1416,9.83,8.25,-,274.81,29.27,21.55,69,-,-,-,20.04,95.94,49.51,18,-,-,-,-,-,-,-,180.54,76.51,-,-,-,168.78,21
Kepulauan Mentawai,4924.89,5067.04,6002.87,5764.13,7545.87,6690.57,6320,422.24,959.03,118.12,112.05,46.91,77.04,382,-,2.49,76.75,-,-,-,-,877.09,1570.31,2084.21,1391.09,1620.28,1934.52,1666,2093.5,1264.81,2078.17,1814.05,2051.99,1940.31,2134,1461.17,1229.59,1606.67,2319.65,3332.98,2272.97,1952,70.89,22.41,38.95,121.1,285.76,137.73,187,-,-,-,4.31,63.34,77.67,-,-,-,-,-,6.98,-,-,-,18.4,-,1.88,137.63,250.34,-
Pesisir Selatan,2847.2,3010.98,2989.22,2859.57,3713.86,4494.47,4194,158.7,41.07,139.66,10.14,184.14,107.79,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1938.99,2089.38,2188.29,2224.35,2729.59,3910.31,3604,664.58,805.62,572.1,589,682.53,422.05,490,71,39.84,14.31,20.99,80.54,41.09,58,-,31.4,-,-,4.72,12.28,3,4.38,-,50.93,5.45,-,-,-,9.55,3.67,23.94,9.64,32.34,0.94,1
Solok,5197.21,6284.21,6066.6,6526.94,7277.74,7764.84,7693,1197.57,1796.26,1248.83,1182.76,1818.08,994.65,1122,-,-,13.56,-,1.47,-,-,6.24,18.31,-,-,-,-,-,3116.67,3909.64,3887.25,4761.62,5042.63,5934.17,5680,759.14,437.77,859.25,512.13,346.42,690.1,648,56.7,11.08,23.93,16.82,17.36,15.16,-,12.95,31.56,-,-,27.29,57.55,163,16.44,18.64,-,7.5,10.38,-,58,31.5,60.95,33.78,46.12,14.11,73.22,23
Sijunjung,4404.57,4803.87,5236.24,5699.25,7802.26,7299.31,6117,845.16,791.4,986.07,608.97,1277.08,973.77,488,-,-,-,23.73,-,-,3,11.45,-,-,-,-,-,-,2883.56,3087.33,3492.93,3809.2,4937.04,5078.77,4755,441.03,728.16,617.53,791.26,674.23,1057.49,537,113.4,139.68,66.8,413.54,688,4.18,146,-,8.13,-,-,107.34,158.15,64,9.46,13.33,0.74,-,38.39,1.38,46,100.5,35.83,72.17,52.55,80.19,25.58,77
Tanah Datar,5912.91,6133.52,6608.92,6592.36,7865.85,7264.28,7970,1815.04,2098.39,2049.27,1677.03,2600.39,2075.67,2008,12.45,-,-,-,6.65,-,-,-,18.6,-,5.82,-,-,-,3391.66,3506.61,3563.01,4099.19,4730.6,4483.94,5209,584.94,351.4,728,417.27,279.61,394.06,410,-,49.29,42.34,74.7,65.76,84.21,16,69.9,13.93,15.99,35.04,37.47,35.71,89,22.41,84.82,48.72,159.72,129.22,111.81,190,16.52,10.48,161.59,123.6,16.14,78.9,49
Padang Pariaman,3933.48,4489.95,4372.92,4674.87,5894.42,5570.53,4887,969.85,1375.46,987.83,1006.68,1568.74,1549.37,1264,-,-,-,-,-,-,-,-,25.48,4.92,-,-,-,58,2566.87,2392.95,2775.64,3081.07,3594.42,3442.89,3042,271.06,342.97,517.39,435.04,416.85,440.46,307,26.46,90.8,5.68,12.69,95.31,-,12,-,-,-,5.82,52.86,57.48,50,28.69,16.62,23.78,69.68,26.77,53.01,80,70.54,245.67,57.68,63.89,139.48,27.32,73
Agam,5077.97,6067.44,6405.31,6276.1,7739.69,8066.92,6791,1158.58,1683.74,2289.56,1663.62,1651.48,1628.44,1191,-,8.09,20.56,-,-,-,-,7.24,-,20.82,1.98,-,-,4,3504.79,3795.82,3461.89,4036.99,5328.17,5680.79,4970,326.83,492.27,435.76,483.69,614.86,494.84,464,2.9,10.58,50.54,21.99,1.16,20.26,17,-,12.29,9.43,14.26,107.77,159.39,99,8.27,2.81,21.53,29.34,-,19.83,21,69.36,61.85,95.22,24.23,36.24,63.36,24
Lima Puluh Kota,4161.82,3972.65,4149.55,4548.08,7316.18,6167.99,6954,897.73,841.35,1213.55,605.57,1681.8,787.66,675,17.14,-,-,-,-,-,-,-,6.55,49.79,-,-,-,-,2671.17,2614.14,2545.79,3161.58,5006.39,4856.09,4886,320.05,261.64,54.49,364.48,406.49,348.27,1247,144.64,75.26,121.39,138.33,95.29,61.51,66,31.52,-,-,-,29.21,51.56,12,2.19,20.76,97.19,61.99,56.46,23.98,13,77.38,152.96,67.36,216.14,40.55,38.94,55
Pasaman,3114.81,4766.9,4275.16,4114.55,5020.01,4964.38,4794,523.06,509.32,417.38,319.48,489.39,571.34,462,-,75.44,22.41,-,-,-,-,-,14.23,-,-,-,-,-,2261.45,3596.42,2822.22,2886.83,3663.02,3911.02,4026,232.84,378.13,618.65,804.49,705.47,270.37,207,8.25,12.52,169.53,67.57,91.41,191.91,43,-,-,2.06,1.63,54.23,15.53,-,-,-,-,-,-,3.42,12,89.2,180.83,222.9,34.55,16.49,0.79,45
Solok Selatan,5469.59,5256.98,5231.27,6170.47,8412.48,8055.53,7903,848.32,701.09,793.61,661.46,1218.97,586.55,414,-,-,14.83,14.54,16.19,-,-,-,-,-,-,-,-,-,3878.41,3434.16,3331.06,4457.12,5706.96,6102.71,6043,652.9,675.08,1034.8,929.21,1187.47,968.59,1091,49.42,398.94,20.93,58.55,242.85,187.24,136,-,-,-,-,36.36,199.87,191,24.85,21.94,-,5.11,3.7,-,1,15.68,25.79,36.04,44.48,-,10.56,27
Dharmasraya,6205.17,7411.88,6306.14,6910.78,6867.34,6878.69,7183,1097.86,972.85,813.94,858.47,695.6,1021.31,609,10.87,26.69,-,33.47,6.74,-,-,-,-,-,-,-,-,-,3400.21,3922.12,3745.01,4439.14,4907.62,4164.13,4756,1599.71,2135.06,1405.34,1401.08,1044.68,1477.94,1278,11.9,168.12,111.41,35.4,37.93,51.63,93,-,-,6.65,12.87,85.65,74.78,260,48.16,23.58,44.59,14.7,3.71,-,47,36.45,163.46,179.2,115.65,85.41,88.89,139
Pasaman Barat,2480.36,3170.19,2482.45,3459.77,4785.08,3460.9,3524,125.37,615.81,266.23,219.12,489.78,110.43,110,-,-,1.09,-,-,-,-,39.67,21.45,-,-,-,-,-,1951.94,2069.38,1716.03,2656.1,3746.59,2860.16,3017,341.44,408.52,459.01,562.54,473.14,412.1,237,-,25.83,-,-,24.42,8.13,95,2.14,0.52,9.13,-,46.02,41.29,54,9.17,-,-,22,-,-,-,10.63,28.69,30.96,-,5.13,28.8,9
Kota Padang,6252.29,6490.55,6430.66,7233.03,9242.03,8399.38,7863,2031.99,1692.43,1785.77,2249.91,2940.64,1513.68,1514,9.88,-,-,-,12.49,-,-,-,-,-,-,3.05,7.82,-,3743.29,4401.77,4257.08,4494.04,5360.72,5867.72,5810,198.22,222.05,171.37,237.24,399.49,280.47,114,11.23,49.35,61.51,29.63,35,83.03,13,88.49,0.94,15.72,96.98,324.05,530.54,314,13.71,15.33,27.59,34.24,73.44,24.63,1,155.48,108.67,111.61,90.98,93.15,91.49,96
Kota Solok,7343.53,7730.76,7352.17,8034.24,10095.9,9146.76,8829,2649.75,3188.19,2691.12,2556.25,3039.31,2572.09,2266,-,-,-,-,-,-,-,-,21.54,-,-,-,-,-,4366.93,4016.92,4271.05,5226.79,6461.23,5915.28,6172,219.33,346.41,237.24,123.86,151.68,122.47,171,-,60.02,22.1,21.04,37.72,51.99,12,-,5.11,-,-,306.42,317.01,52,56.61,35.39,62.83,63.93,87.07,78.19,89,50.92,57.18,67.84,42.37,12.47,89.72,66
Kota Sawah Lunto,8153.07,7353.88,8082.34,9936.59,11671.02,10052.16,11692,2762.62,2621.79,2573.13,2820.44,3569.64,2636.02,2866,-,-,-,-,-,18.79,-,-,41.06,-,-,-,-,-,3742.69,4228.99,4305.58,5713.36,6409.9,6373.73,6825,1421.67,358.56,995.58,1177.97,1092.01,414.13,1140,16.52,-,-,-,17.76,50.33,-,-,-,17.67,0.56,298.36,271.14,601,157.3,57.5,55.75,54.44,94.67,107.19,41,52.28,45.97,134.62,169.82,188.67,180.84,219
Kota Padang Panjang,7656.36,9441.59,9851.86,9033.56,12467.6,11006.88,14392,2804.86,4394.48,4559.48,3519.36,5446.74,4317.98,3609,-,-,30.76,-,-,-,-,35.47,22.08,67.08,31.69,-,-,-,4098.45,4268.62,4638.19,5139.63,5834.63,5979.39,6813,291.57,357.17,108.85,90.51,253.9,283.6,96,-,53.12,26.27,43.28,133.26,7.78,-,43.27,87.05,73.74,25.11,665.38,281.62,3622,22.94,68.74,107.42,71.98,27.56,-,5,359.8,190.33,240.07,112.01,106.13,136.51,247
Kota Bukittinggi,7594.63,7490.05,8755.62,11308.27,11506.03,10033.11,11200,2473.1,2548.28,3036.32,3804.75,4367.75,3101.33,2572,19.95,-,-,-,-,-,-,-,-,59.96,-,-,-,-,4567.59,4233.99,5112.94,6805.43,6205.16,5843.37,7957,377.04,459.47,287.72,139.56,278.32,119.25,52,-,1.66,39.1,152.51,14.97,61.63,13,-,28.53,64.9,37.76,367.71,642.66,436,94.73,79.61,-,75.62,36.21,3.13,21,62.22,138.51,154.69,292.66,235.91,261.74,148
Kota Payakumbuh,5496.93,6915.42,5763.14,6285.71,6783.89,7785.78,7500,1821.4,2630.61,2014.89,1756.96,1863.93,2223.19,1798,-,34.29,104.65,11.79,-,-,-,-,-,-,-,-,-,-,3061.52,3710.07,3178.48,3927,3950.54,4671.05,4366,410.41,278.07,213.82,255.09,425.43,170.78,478,14.96,31.22,86.05,157.75,20.14,322.81,137,8.87,62.99,-,6.64,299.3,296.87,382,64.42,29.72,54.72,40.71,135.46,68.1,47,115.35,138.45,110.52,129.77,89.09,32.98,292
Kota Pariaman,3685.54,4445.71,6090.7,5390.33,5731.69,5483.73,6321,656.72,1203.1,1827.54,1255.73,984.45,971.29,932,-,-,-,-,-,-,-,-,-,11.06,-,-,-,-,2397.2,2756.06,3524.88,3797.49,4196.19,3737.2,4870,484.19,291.74,469.97,189.79,313.59,441.78,406,10.3,30.26,75.62,34.51,5.87,103.56,-,16.5,50.65,6.11,15.76,150.16,89.19,95,76.51,19.43,143.94,77.96,44.98,81.48,5,44.13,94.49,31.59,19.08,36.44,59.24,12
Kuantan Singingi,5245.35,5468.9,5840.22,7283.4,8296.68,7889.21,8875,355.03,544.77,309.83,780.83,1163.78,311.36,648,-,-,20.66,25.51,-,-,-,43.54,27.52,18.01,17.54,19.8,9.16,31,3772,4200.83,4486.54,5142.88,5961.87,6563.66,6151,932,568.79,743.28,1036.22,777.44,683.37,1347,17.12,40.22,101.46,102.9,19.41,111.45,-,24.53,-,-,-,124.66,133.6,411,-,-,-,30.86,-,3.38,126,101.13,86.77,160.43,146.66,229.73,73.22,162
Indragiri Hulu,5323.82,5581.33,5179.03,6743.64,6553.16,7876.06,7069,437.08,364.36,470.51,764.42,352.27,829.16,447,6.73,95.52,-,-,8.24,-,20,88.89,133.28,11.96,143.86,75.04,98.58,43,3832.44,3899.28,3875.44,4851.51,5203.88,5577.73,4877,795.18,810.31,690.51,839.74,725.14,940.11,1272,135.59,174.17,54.93,45.44,-,92.26,143,-,-,-,-,112.8,140.8,27,-,-,-,-,4.65,-,8,27.91,104.4,75.69,98.67,71.13,197.42,231
Indragiri Hilir,4239.26,3866.19,4724,4507.34,5862.26,5462.52,6162,502.33,74.21,209.96,108.07,283.61,163.06,208,-,6.57,65.64,8.3,21.98,18.76,-,36.13,14.6,11.27,-,-,25.98,52,3184.51,3093.25,3343.59,3698.7,4535.24,4031,4383,386.57,550.41,1017.37,571.44,718.96,889.07,1054,68.6,23.47,-,9.44,33.65,120.59,-,-,14.41,-,-,194.78,157.65,365,-,10,-,-,-,-,-,61.13,79.27,76.18,111.39,74.04,56.42,100
Pelalawan,8248.62,7142.32,7981.98,7605.6,10053,7765.74,9450,1595.49,731.95,734.94,999.62,2357.84,334.53,843,35.49,16.34,-,-,-,-,34,207.1,61.28,322.2,159.72,136.89,312.41,197,4159.73,4751.25,5230.98,4889.2,5699.59,6088.19,6355,2066.93,1449.72,1365.52,1382.39,1430.66,881.51,1630,81.52,28.2,196,94.84,9.43,9.65,12,11.96,19.36,32.75,36.87,153.02,113.42,277,-,1.54,11.73,20.96,21.72,6.94,32,90.41,82.69,87.86,22.01,243.86,19.1,71
Siak,6132.8,6383.6,10829.8,8884.97,8503.73,9772.71,9357,684.95,452.43,4339.71,1256.48,1357.39,769.95,448,4.88,64.12,-,78.53,11.78,174.29,-,63.56,198.43,328.23,148.84,119.14,82.41,149,4429.73,4442.03,5013.27,6092.83,5822.98,6997.02,6606,831.48,1106.18,942.26,1159.84,947.52,1219.68,1482,24.98,85.16,79.08,92.2,49.35,26.72,147,36.84,9.23,7.17,8.65,94.04,387.49,442,8.42,-,33.3,15.07,5.99,20.23,5,47.96,26.02,86.77,32.52,95.53,94.92,79
Kampar,5632.94,5305.46,6215.3,6915.06,8350.1,7635.18,7866,489.61,404.52,686.25,333.05,1213.89,971.35,353,-,-,-,-,-,26.39,-,36.75,43.19,46.28,3.18,29.57,65.78,59,4286.5,3969.05,4297.25,5257.78,5564.83,5744.18,6440,689.01,762.03,719.13,1114.68,1054.22,597.53,686,23.93,60.8,371.28,42.89,176.03,96.92,4,32.81,13.23,-,35.26,186.44,90.35,180,7.1,-,10.77,40.63,40.96,1.96,5,67.24,52.64,84.35,87.6,84.16,40.7,138
Rokan Hulu,6022.53,6343.65,5503.06,6726.47,8293.71,7553.28,7842,446.64,745.82,460.31,861.07,1305.94,921.96,983,2.73,7.84,-,23.5,23.47,-,-,73.06,81.5,253.53,171.58,145.51,139.55,208,3768.54,3748.08,3835.96,4611.86,5808.85,4940.32,5464,1190.93,1564.54,795.69,928.89,881.67,1319.77,851,476.09,104.35,59.16,50.09,-,38.02,21,6.13,24.36,5.73,5.97,14.76,28.23,69,10.32,10.7,2.33,21.38,32.93,0.68,39,48.08,56.48,90.36,52.14,80.58,164.74,208
Bengkalis,4673.44,5522.68,5465.03,6577.2,8743.2,9469.38,9713,706.3,682.76,641.39,510.68,1145.51,1066.18,895,-,-,-,-,-,3.35,49,296.79,165.95,159.35,366.43,208.75,285.23,632,2759.18,3508.01,3909.35,4582.15,5889.6,6570.69,6826,828.19,770.63,638.08,861.25,1250.89,992.29,835,-,200.12,29.04,76.69,-,16.35,-,-,90.61,-,-,90.11,171.44,199,1.35,6.77,15.53,-,-,24.92,20,81.64,97.83,72.28,179.99,158.34,338.93,257
Rokan Hilir,4846.06,5000.25,5073.5,5792.55,7774.09,6392.08,6299,155.59,560.78,601.77,493.93,945.82,246.99,197,62.32,0.15,48.41,-,56.43,43.54,-,174.74,104.15,109.63,95.53,137.16,443.5,256,3276.19,3291.9,3138.72,3746.47,5005.06,4309.02,4786,1038.41,958.73,1024.3,1243.51,1409.96,1062.75,930,-,17.72,50.74,40.94,25.14,141.99,35,7.07,0.85,-,-,57.26,67.36,3,-,-,-,26.13,-,-,4,131.74,65.97,99.93,146.05,137.26,76.93,87
Kepulauan Meranti,4189.09,3896,5255.58,4325.03,5677.8,5620.9,5180,132.94,185.24,260.99,102.22,26.86,392.28,215,-,36.91,-,103.69,-,81,19,305.97,235.89,372.24,189.36,804.39,190.46,59,3213.68,2932.1,3955.52,3492.37,3988.85,4345.98,4074,495.63,340.61,404.61,333.31,655.37,394.05,601,-,-,-,40.08,90.85,-,-,-,-,110.34,-,36.9,134.85,74,-,19.84,20.96,-,-,-,28,40.88,145.42,130.91,64,74.58,82.29,109
Kota Pekanbaru,6658.93,6885.94,8491.59,8643.74,11716.4,10269.85,10723,1581.26,1364.24,2229.59,2029.01,3012.21,1967.2,1925,10.54,20.96,-,-,252.33,-,-,43.12,115.32,24.08,35.25,169.86,38.93,275,4120.31,4859.72,5684.61,5857.91,7250.75,7418.49,7504,616.98,314.87,267.44,307.15,500.99,229.73,491,103.64,2.78,104.28,160.14,-,45.45,17,25.29,17.76,74.43,49.05,488.98,502.35,385,36.8,10.95,22.31,16.23,-,1.62,36,121,179.35,84.86,189,41.27,66.09,90
Kota Dumai,5369.42,6139.56,5532.25,6015.22,9524.18,7781.12,7907,433.61,1003.29,787.39,820.13,1455.53,678.95,959,-,142.34,-,-,65.32,-,52,234.79,134.21,83.31,11.65,-,24.06,86,4006.3,3951.21,3802.13,4295.23,6713.97,6358.74,5868,531.25,743.14,551.76,690.47,874.08,303.07,528,-,37.32,23.27,-,27.09,66.3,34,14.79,29.48,134.94,67.16,239.96,295.34,263,93.07,30.58,76.52,-,31.16,-,-,55.6,68,72.92,130.58,117.07,54.65,117
Kerinci,4521.96,4250.25,7276.54,6992.03,8227.49,9396.44,7354,1049.33,607.04,1596.43,1224.38,1565.05,2633.18,1348,-,-,21.88,-,-,-,-,8.69,26.29,12.1,-,17.62,-,-,3026.48,3018.63,4106.71,4637.44,5624.29,5769.87,5356,297.62,195.64,1065.86,712.78,440.17,511.56,307,21.09,106.97,273.5,109.74,153.51,51.38,21,-,2.95,60.92,23.15,280.51,214.07,139,-,11.42,14.02,56.13,26.38,1.92,-,118.75,281.31,125.11,228.4,119.97,214.46,183
Merangin,6458.55,5827.01,5091.05,6349.98,7692.69,5516.22,7400,894.94,180.76,473.95,308.12,817.56,479.39,230,32.45,-,-,54.46,14.11,-,6,50.66,7.11,-,14.64,16.17,1.8,108,3270.02,3654.36,3476.5,4694.96,4664.75,3618.25,5072,1907.59,1528.25,1003.18,1001.2,1458.87,1161.42,1690,173.95,363.86,28.84,25.71,481.42,51.89,113,14.27,-,-,-,109.94,105.95,15,33.64,-,5.53,72.04,11.16,4.89,2,81.02,92.68,103.05,178.86,118.71,92.65,164
Sarolangun,5114.93,5385.53,4457.33,6032.1,8208.82,7898.1,8017,545.91,251.17,268.2,811.98,908.21,736.37,1115,7.07,-,18.71,21.71,76.24,-,13,9.51,15.03,14.27,17.5,19.26,60.38,49,2974.88,3749.75,3199.4,3910.17,5045.65,5155.46,5240,1152.38,1160,755.23,877.74,1056.13,1283.47,1088,307.66,55.36,86.16,174.12,909.63,185.2,305,-,-,-,-,25.83,167.31,38,4.06,2.37,14.28,-,-,-,3,113.46,151.85,101.07,218.88,167.88,309.91,166
Batang Hari,4872.87,5463.89,6034.52,6388.19,7526.87,8055.32,8196,213.72,571.61,484.87,528.92,1003.62,1455.05,858,-,-,7.98,-,5.52,10.55,4,24.25,2.61,34.35,34.51,6.37,12.51,144,3849.87,3855.54,4464.44,4682.86,5009.82,5097,5019,472.53,745.57,708.32,806.47,736.19,950.28,1283,192.87,106.77,53.26,209.44,361.55,149.82,386,-,-,1.12,-,127.15,34.87,43,16.14,48.36,124.86,2.59,39.85,38.99,-,103.49,133.44,155.32,123.39,236.8,306.24,458
Muaro Jambi,5824.32,6571.49,7263.97,8514.25,9185.33,8595.89,9641,390.45,591.33,303.06,1078.4,569.15,1059.39,1565,11.83,56.55,11.69,7.63,131.99,107.38,37,65.12,26.62,22.09,-,-,159.96,206,4329.83,4707.48,5463.17,5251.76,6654.52,5642.53,5650,638.34,818.2,694.43,1607.08,1375.95,868.09,1113,149.2,111.78,93.03,41.54,49.68,82.59,449,37.72,5.07,-,-,164.64,109.8,173,5.45,14.19,60.09,122.51,4.29,154.53,68,196.38,240.28,616.41,405.32,235.11,411.64,382
Tanjung Jabung Timur,3849.5,3575.3,4669.41,5784.55,6817.56,7138.83,7033,81.59,167.11,159.85,62.12,313.8,138.74,213,-,35.35,96.07,108.05,-,-,-,11.25,11.18,-,-,34.55,65.39,56,2821.06,2517.28,2752.62,4081.51,4414.03,5126.18,5186,756.55,737.78,1518.19,1291.51,1675.21,1013.3,1161,4.43,37.17,62.9,24.68,39.69,342.46,59,43.14,-,-,-,108.34,92.67,151,5.56,-,-,-,70.64,-,-,125.91,69.43,79.78,216.68,161.31,360.08,207
Tanjung Jabung Barat,3707.3,4949.48,5594.14,6349.88,6090.22,5624.81,6732,110.91,126.88,234.71,169.09,227.04,467.1,397,82.92,-,-,23.62,36.71,-,50,38.76,25.8,34.74,112.63,30.43,2.12,19,2671.22,3263.12,3653.75,4836.42,4470.99,3962.35,5247,624.7,1125.13,1254.86,982.15,968.57,925.44,715,12.04,23.92,213.59,-,-,21.48,88,-,-,-,15.02,44.5,61.45,17,3.35,-,14.82,18.87,49.19,-,8,163.41,384.62,187.67,192.09,262.78,184.87,190
