Nama Wilayah,Angka Morbiditas menurut Wilayah (Persen),,,,,
Nabire,8.63,,,,,
Kepulauan Yapen,18.45,,,,,
Biak Numfor,6.22,,,,,
Paniai,3.57,,,,,
Puncak Jaya,4.08,,,,,
Mimika,6.23,,,,,
Boven Digoel,11.37,,,,,
Mappi,4.66,,,,,
Asmat,10.52,,,,,
Yahukimo,3.71,,,,,
Pegunungan Bintang,11.08,,,,,
Tolikara,9.91,,,,,
Sarmi,17.86,,,,,
Keerom,7.82,,,,,
Waropen,7.54,,,,,
Supiori,12.63,,,,,
Mamberamo Raya,6.12,,,,,
Nduga *,17.2,,,,,
Lanny Jaya,5.42,,,,,
Mamberamo Tengah,28.02,,,,,
Yalimo,5.61,,,,,
Puncak,0.77,,,,,
Dogiyai,2.13,,,,,
Intan Jaya,6.66,,,,,
Deiyai,1.52,,,,,
Kota Jayapura,6.64,,,,,
PAPUA SELATAN,-,,,,,
Merauke,-,,,,,
Boven Digoel,-,,,,,
Mappi,-,,,,,
Asmat,-,,,,,
PAPUA TENGAH,-,,,,,
Mimika,-,,,,,
Dogiyai,-,,,,,
Deiyai,-,,,,,
Nabire,-,,,,,
Paniai,-,,,,,
Intan Jaya,-,,,,,
Puncak,-,,,,,
Puncak Jaya,-,,,,,
PAPUA PEGUNUNGAN,-,,,,,
Nduga,-,,,,,
Jayawijaya,-,,,,,
Lanny Jaya,-,,,,,
Tolikara,-,,,,,
Mamberamo Tengah,-,,,,,
Yalimo,-,,,,,
Yahukimo,-,,,,,
Pegunungan Bintang,-,,,,,
,,,,,,
Catatan,"<ul><li>Keluhan kesehatan adalah gangguan terhadap kondisi fisik maupun jiwa, termasuk karena kecelakaan, atau hal lain yang menyebabkan terganggunya kegiatan sehari-hari. Pada umumnya keluhan kesehatan utama yang banyak dialami oleh penduduk adalah panas, sakit kepala, batuk, pilek, diare, asma/sesak nafas, sakit gigi. Orang yang menderita penyakit kronis dianggap mempunyai keluhan kesehatan walaupun pada waktu survei (satu bulan terakhir) yang bersangkutan tidak kambuh penyakitnya.",</li><li>Pengukuran: jumlah penduduk yang mengalami kesehatan dan terganggunya aktifitas dibagi dengan jumlah penduduk,"</li><li>Indikator ini dapat dimanfaatkan untuk mengukur tingkat kesehatan masyarakat secara umum yang dilihat dari adanya keluhan yang mengindikasikan terkena suatu penyakit tertentu. Pengetahuan mengenai derajat kesehatan suatu masyarakat dapat menjadi pertimbangan dalam pembangunan bidang kesehatan, yang bertujuan agar semua lapisan masyarakat memperoleh pelayanan kesehatan secara mudah, murah dan merata. Melalui upaya tersebut, diharapkan akan tercapai derajat kesehatan masyarakat yang lebih baik.",Interpretasi	Semakin banyak penduduk yang mengalami keluhan kesehatan berarti semakin rendah derajat kesehatan dari masyarakat bersangkutan,</li><li>Sumber 2019 : diolah dari Susenas 2019,<br /></li></ul>
